sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","search_et","search_lt","api_et","api_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_search_et","__mv_search_lt","__mv_api_et","__mv_api_lt"
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD503bb804fcfb8cd22_1550176854.18","| rest splunk_server_group=dmc_group_search_head /services/server/status/resource-usage/splunk-processes | stats dc(search_props.sid) as search_concurrency by splunk_server | fields splunk_server search_concurrency",usrlsplunkmstidx,"1550176854.664904",0,splunkjs,0,1550176855,1,"manager_8235",0,completed,"0.6960000000000001",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD53bbd09ea83ead80f_1550176854.19","| rest splunk_server=local /services/search/distributed/peers | eval up_down_status=if(status==""Down"",0,1) | rename peerName as splunk_server | fields cpu_arch os_name os_version numberOfCores numberOfVirtualCores physicalMemoryMB version splunk_server up_down_status",usrlsplunkmstidx,"1550176854.948315",0,splunkjs,0,1550176855,13,"manager_8296",0,completed,"0.47600000000000003",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5e397d0eda7dece67_1550176855.20","| rest splunk_server=local /services/server/info | fields cpu_arch os_name os_version numberOfCores numberOfVirtualCores physicalMemoryMB version",usrlsplunkmstidx,"1550176855.002150",0,splunkjs,0,1550176855,1,"manager_8357",0,completed,"0.292",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1550176855.21","| `dmc_get_all_triggered_alerts(1440)`",usrlsplunkmstidx,"1550176855.077271",0,splunkjs,0,1550176857,0,"alerts-fired-search",0,completed,"0.9430000000000001",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5005d04be2c3b4490_1550176914.22","search `dmc_set_index_internal` splunk_server_group=* search_group=dmc_group_indexer earliest=-60m (source=*splunkd.log* (component=AggregatorMiningProcessor OR component= LineBreakingProcessor OR component=DateParserVerbose) (log_level=WARN OR log_level=ERROR)) OR (source=*metrics.log* group=thruput name=index_thruput) 
| stats sum(eval(round(ev,0))) AS event_count count(eval(component==""AggregatorMiningProcessor"")) AS aggregation_issues count(eval(component==""LineBreakingProcessor"")) AS line_breaking_issues count(eval(component==""DateParserVerbose"")) AS date_parsing_issues by host 
| eval crap_score = round((aggregation_issues + line_breaking_issues + date_parsing_issues) / event_count * 1000, 3) 
| eval severity_level = case(crap_score == 0, 0, crap_score > 0 AND crap_score < 1, 1, True(), 2) 
| rename host AS instance 
| fields - crap_score",usrlsplunkmstidx,"1550176914.926860",0,splunkjs,0,1550176915,0,"manager_8123",134,completed,"2.015","1550173314.000000000","1550176915.076325000",,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5469030520689e79c_1550176916.23","| rest splunk_server_group=* splunk_server_group=dmc_group_license_master /services/licenser/licenses 
| join type=outer group_id splunk_server [ 
    rest splunk_server_group=* splunk_server_group=dmc_group_license_master /services/licenser/groups 
    | where is_active = 1 
    | rename title AS group_id 
    | fields is_active group_id splunk_server] 
| where is_active = 1 
| eval days_left = floor((expiration_time - now()) / 86400) 
| where NOT (quota = 1048576 OR label == ""Splunk Enterprise Reset Warnings"" OR label == ""Splunk Lite Reset Warnings"") 
| eval status = case(days_left >= 14, days_left."" days left"", days_left < 14 AND days_left >= 0, ""Expires soon: "".days_left."" days left"", days_left < 0, ""Expired"") 
| eval size_gb = round(quota/1024/1024/1024,3) 
| fields splunk_server label license_hash size_gb days_left status 
| eval license_info = label."" (size = "".size_gb."" GB ; hash = "".license_hash."") - "".status 
| eval severity_level = case(days_left >= 14, 0, days_left < 14 AND days_left >= 0, 2, days_left < 0, 3) 
| stats values(license_info) AS license_information max(severity_level) AS severity_level by splunk_server 
| rename splunk_server AS instance",usrlsplunkmstidx,"1550176916.550908",0,splunkjs,0,1550176916,0,"manager_8147",0,completed,"0.027",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5732a607343c64a81_1550176917.24","| rest splunk_server_group=* splunk_server_group=dmc_group_indexer /services/server/introspection/indexer 
| fields splunk_server, status, reason 
| eval severity_level = if(status == ""normal"", 0, 2) 
| rename splunk_server as instance",usrlsplunkmstidx,"1550176917.731292",0,splunkjs,0,1550176917,4,"manager_8159",0,completed,"0.124",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD507457d9ee972a9f7_1550176918.25","| rest splunk_server_group=* splunk_server_group=dmc_group_license_master /services/licenser/slaves 
| join type=outer splunk_server [rest splunk_server_group=* /services/server/info | fields version, splunk_server] 
| fields label splunk_server version warning_count 
| eval in_violation = if(warning_count >= 5, 1, 0) 
| eval severity_level = case(in_violation == 1, 3, warning_count > 0 AND warning_count < 5, 2, warning_count == 0, 0) 
| rename label AS instance splunk_server AS license_master version AS ""license_master version"" warning_count AS ""warning_count (current / limit)"" 
| fieldformat warning_count (current / limit) = 'warning_count (current / limit)'."" / 5"" 
| fields - _timediff",usrlsplunkmstidx,"1550176918.993458",0,splunkjs,0,1550176919,0,"manager_8195",0,completed,"0.042",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5a977c1d80dc98839_1550176919.26","| rest splunk_server_group=* /services/server/info 
| fields splunk_server isForwarding server_roles 
| where (server_roles==""search_head"" OR server_roles==""cluster_master"" OR server_roles==""license_master"" OR server_roles==""shc_deployer"" OR server_roles==""deployment_server"" OR isNull(server_roles)) 
| eval severity_level = case( isForwarding==1, 0, isForwarding == 0, 2, true(), -1) 
| rename splunk_server AS instance",usrlsplunkmstidx,"1550176919.997727",0,splunkjs,0,1550176920,1,"manager_8219",0,completed,"0.027",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5528ae8f4a1aeb7de_1550176921.27","| inputlookup dmc_forwarder_assets 
| stats count AS forwarder_count by status 
| eval severity_level = case(status==""active"", 0, status==""missing"", 2, true(), -1) 
| eventstats max(severity_level) AS max_severity_level 
| where severity_level = max_severity_level 
| fields status forwarder_count severity_level",usrlsplunkmstidx,"1550176921.265961",0,splunkjs,0,1550176921,0,"manager_8231",0,completed,"0.007",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD52d5ee07b80bf96bf_1550176922.28","| rest splunk_server_group=* /services/server/introspection/queues 
| search title=parsingQueue* OR title=aggQueue* OR title=typingQueue* OR title=indexQueue* 
| eval fill_perc = round(current_size_bytes / max_size_bytes * 100,2) 
| rex field=title ""(?<queue_name>^\w+)(?:\.(?<pipeline_number>\d+))?"" 
| fields splunk_server fill_perc queue_name pipeline_number 
| eval severity_level = if( fill_perc > 90, 2, 0) 
| eval fill_perc = if(isnotnull(pipeline_number), ""pset"".pipeline_number."": "".fill_perc, fill_perc) 
| chart values(fill_perc) AS fill_perc max(severity_level) AS severity_level over splunk_server by queue_name 
| rename ""fill_perc: *"" AS * ""severity_level: *"" AS ""sev_*"" 
| eval severity_level = max(sev_parsingQueue, sev_aggQueue, sev_typingQueue, sev_indexQueue) 
| fields splunk_server severity_level parsingQueue aggQueue typingQueue indexQueue 
| rename splunk_server AS instance parsingQueue as ""Parsing Queue Fill Ratio (%)"", aggQueue as ""Aggregation Queue Fill Ratio (%)"", ""typingQueue"" as ""Typing Queue Fill Ratio (%)"", indexQueue as ""Indexing Queue Fill Ratio (%)""",usrlsplunkmstidx,"1550176922.276226",0,splunkjs,0,1550176922,4,"manager_8267",0,completed,"0.036000000000000004",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ac098f9cf15dc1b7_1550176923.29","| rest splunk_server_group=* splunk_server_group=dmc_group_search_head /services/search/distributed/peers 
| fields splunk_server peerName server_roles status status_details 
| eval peer_health = case(status == ""Up"" AND isnull(status_details), ""optimal"", status != ""Down"" AND isnotnull(status_details), ""degraded"", status == ""Down"" , ""down"", status!= ""Up"" OR status != ""Down"", ""inconclusive"") 
| stats count AS peer_count count(eval(peer_health == ""optimal"")) AS peer_count_optimal count(eval(peer_health == ""degraded"")) AS peer_count_degraded,  count(eval(peer_health == ""down"")) AS peer_count_down, count(eval(peer_health == ""inconclusive"")) AS peer_count_inconclusive, by splunk_server 
| eval severity_level = case(peer_count_down > 0, 3, peer_count_degraded > 0, 2, peer_count_inconclusive > 0, 1, peer_count_optimal > 0, 0, True(), -1) 
| rename splunk_server AS search_head",usrlsplunkmstidx,"1550176923.537162",0,splunkjs,0,1550176923,1,"manager_8111",0,completed,"0.037",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f9db2363af417b15_1550176924.30","search earliest=-60m `dmc_set_index_internal` search_group=dmc_group_search_head sourcetype=scheduler (status=""completed"" OR status=""skipped"") 
| stats count(eval(status==""completed"" OR status==""skipped"")) AS total_executions, count(eval(status==""skipped"")) AS skipped_executions by host 
| eval skip_ratio = skipped_executions/total_executions * 100 
| eval severity_level = case(skip_ratio == 0, 0, skip_ratio > 0, 2) 
| eval skip_ratio = round(skip_ratio, 2).""%"" 
| rename host AS instance 
| fields instance total_executions skipped_executions skip_ratio severity_level",usrlsplunkmstidx,"1550176924.668991",0,splunkjs,0,1550176924,0,"manager_8279",663,completed,"2.0140000000000002","1550173324.000000000","1550176924.806117000",,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD52d8b39fb03f39030_1550176925.31","| rest splunk_server_group=* /services/server/status/resource-usage/hostwide 
| eval percentage = round(mem_used/mem,3)*100 
| eval severity_level = if(percentage >= 90, 2, 0) 
| lookup local=true dmc_assets serverName AS splunk_server OUTPUT machine 
| eval machine = mvdedup(machine) 
| fields splunk_server, machine, mem_used, mem, percentage, severity_level 
| rename splunk_server AS instance, mem AS ""Physical memory installed (MB)"", percentage AS ""Memory used (%)"", mem_used AS ""Memory used (MB)""",usrlsplunkmstidx,"1550176925.677333",0,splunkjs,0,1550176925,4,"manager_8135",0,completed,"0.043000000000000003",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD53fba4b981ca60fdf_1550176926.32","| rest splunk_server_group=* /services/server/info 
| join type=outer splunk_server [rest splunk_server_group=* /services/server/status/installed-file-integrity 
    | fields splunk_server check_ready check_failures.* 
    | untable splunk_server file_path check_result 
    | replace ""check_failures.*"" WITH ""*"" IN file_path 
    | eval check_ready = if(file_path == ""check_ready"", check_result, NULL) 
    | eval file_path = if(file_path == ""check_ready"", NULL, file_path) 
    | eval checker_not_working = if(file_path == ""fail"", check_result, NULL) 
    | stats count(eval(isnotnull(file_path))) AS file_integrity_failures max(check_ready) AS check_ready first(checker_not_working) AS checker_not_working by splunk_server] 
| fields splunk_server check_ready file_integrity_failures checker_not_working 
| eval severity_level = case(check_ready != ""true"", -1, file_integrity_failures = 0, 0, isnull(file_integrity_failures), 1, checker_not_working == ""check_disabled"", 1, file_integrity_failures > 0, 2, True(), -1) 
| eval file_integrity_failures = if(isnotnull(checker_not_working), checker_not_working, file_integrity_failures) 
| eval file_integrity_failures = if(isnotnull(file_integrity_failures), file_integrity_failures, ""integrity check not available"") 
| eval check_ready = if(isnotnull(check_ready), check_ready, ""integrity check not available"") 
| rename splunk_server AS instance 
| fields - checker_not_working _timediff",usrlsplunkmstidx,"1550176926.937387",0,splunkjs,0,1550176926,4,"manager_8171",0,completed,"0.268",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5efbe512196f96e95_1550176928.33","| rest splunk_server_group=* splunk_server_group=dmc_group_kv_store /services/server/info 
| fields splunk_server kvStoreStatus 
| eval severity_level = case(isNull(kvStoreStatus), -1, kvStoreStatus == ""ready"", 0, kvStoreStatus == ""disabled"" OR kvStoreStatus == ""starting"", 1, kvStoreStatus == ""failed"", 2) 
| rename splunk_server AS instance",usrlsplunkmstidx,"1550176928.068753",0,splunkjs,0,1550176928,0,"manager_8183",0,completed,"0.006",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5942f726b474eed68_1550176929.34","| rest splunk_server_group=* /servicesNS/-/-/saved/searches add_orphan_field=yes count=0 
| where disabled=0 AND is_scheduled=1 
| stats count(eval(orphan=1)) AS orphaned_search_count by splunk_server 
| eval severity_level = if(orphaned_search_count > 0, 3, 0) 
| rename splunk_server AS instance",usrlsplunkmstidx,"1550176929.081492",0,splunkjs,0,1550176929,4,"manager_8255",0,completed,"0.18",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD54f5d86f44c4fc901_1550176931.35","| rest splunk_server_group=* /services/properties/server/pooling/state 
| where value=enabled 
| eval shpooling = 1 
| join type=outer splunk_server [rest splunk_server_group=* /services/server/info | fields version, splunk_server] 
| stats max(shpooling) AS shpooling_state max(version) AS version by splunk_server 
| fields splunk_server version shpooling_state 
| eval severity_level = if(shpooling_state = 1 AND match(version,""^(6\.[234]|[7-9]\.)""), 1, 0) 
| rename splunk_server AS instance 
| fields - _timediff",usrlsplunkmstidx,"1550176931.531080",0,splunkjs,0,1550176931,0,"manager_8291",0,completed,"0.08700000000000001",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5dc0b4c82c1f2cbfd_1550176932.36","| rest splunk_server_group=* /services/server/info 
| join type=outer splunk_server [rest splunk_server_group=* /services/server/sysinfo | fields splunk_server ulimits.data_segment_size ulimits.open_files ulimits.user_processes] 
| eval ulimits.data_segment_size = if(isnotnull('ulimits.data_segment_size'), 'ulimits.data_segment_size', ""unavailable"") 
| eval ulimits.open_files = if(isnotnull('ulimits.open_files'), 'ulimits.open_files', ""unavailable"") 
| eval ulimits.user_processes = if(isnotnull('ulimits.user_processes'), 'ulimits.user_processes', ""unavailable"") 
| eval sev_segment_size = case('ulimits.data_segment_size' == -1 OR 'ulimits.data_segment_size' >= 1073741824, 0, 'ulimits.data_segment_size' == ""unavailable"", -1, True(), 2) 
| eval sev_open_files = case('ulimits.open_files' == -1 OR 'ulimits.open_files' >= 8192, 0, 'ulimits.open_files' == ""unavailable"", -1, True(), 2) 
| eval sev_user_processes = case('ulimits.user_processes' == -1 OR 'ulimits.user_processes' >= 8192, 0, 'ulimits.user_processes' == ""unavailable"", -1, True(), 2) 
| eval severity_level = max(sev_segment_size, sev_open_files, sev_user_processes) 
| fields splunk_server ulimits.data_segment_size ulimits.open_files ulimits.user_processes severity_level 
| rename splunk_server AS instance ulimits.data_segment_size AS ""ulimits.data_segment_size (current / recommended)"" ulimits.open_files AS ""ulimits.open_files (current / recommended)"" ulimits.user_processes AS ""ulimits.user_processes (current / recommended)"" 
| fieldformat ulimits.data_segment_size (current / recommended) = if('ulimits.data_segment_size (current / recommended)' >= 0, 'ulimits.data_segment_size (current / recommended)'."" / 1073741824"", 'ulimits.data_segment_size (current / recommended)') 
| fieldformat ulimits.open_files (current / recommended) = if('ulimits.open_files (current / recommended)' >= 0, 'ulimits.open_files (current / recommended)'."" / 8192"", 'ulimits.open_files (current / recommended)') 
| fieldformat ulimits.user_processes (current / recommended) = if('ulimits.user_processes (current / recommended)' >= 0, 'ulimits.user_processes (current / recommended)'."" / 8192"", 'ulimits.user_processes (current / recommended)') 
| fields - _timediff",usrlsplunkmstidx,"1550176932.538719",0,splunkjs,0,1550176932,4,"manager_8099",0,completed,"0.123",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5943f32c7164594c3_1550176933.37","| rest splunk_server_group=* /services/server/info 
| join type=outer splunk_server [rest splunk_server_group=* /services/server/sysinfo | fields splunk_server transparent_hugepages.*] 
| eval transparent_hugepages.effective_state = if(isnotnull('transparent_hugepages.effective_state'), 'transparent_hugepages.effective_state', ""unknown"") 
| eval transparent_hugepages.enabled = case(len('transparent_hugepages.enabled') > 0, 'transparent_hugepages.enabled', 'transparent_hugepages.effective_state' == ""ok"" AND (isnull('transparent_hugepages.enabled') OR len('transparent_hugepages.enabled') = 0), ""feature not available"", 'transparent_hugepages.effective_state' == ""unknown"" AND isnull('transparent_hugepages.enabled'), ""unknown"", True(), ""unknown"") 
| eval transparent_hugepages.defrag = case(len('transparent_hugepages.defrag') > 0, 'transparent_hugepages.defrag', 'transparent_hugepages.effective_state' == ""ok"" AND (isnull('transparent_hugepages.defrag') OR len('transparent_hugepages.defrag') = 0), ""feature not available"", 'transparent_hugepages.effective_state' == ""unknown"" AND isnull('transparent_hugepages.defrag'), ""unknown"", True(), ""unknown"") 
| eval severity_level = case('transparent_hugepages.effective_state' == ""unavailable"", -1, 'transparent_hugepages.effective_state' == ""ok"", 0, 'transparent_hugepages.effective_state' == ""unknown"", 1, 'transparent_hugepages.effective_state' == ""bad"", 2) 
| fields splunk_server transparent_hugepages.enabled transparent_hugepages.defrag transparent_hugepages.effective_state severity_level 
| rename splunk_server AS instance 
| fields - _timediff",usrlsplunkmstidx,"1550176933.776474",0,splunkjs,0,1550176934,4,"manager_8207",0,completed,"0.058",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5bcb0e9e26ee400cb_1550176934.38","| rest splunk_server_group=* /services/server/status/partitions-space 
| eval free = if(isnotnull(available), available, free) 
| eval usage = capacity - free 
| eval pct_usage = floor(usage / capacity * 100) 
| stats first(pct_usage) AS pct_usage by splunk_server, mount_point 
| eval severity_level = case(pct_usage < 90, 0, pct_usage >= 90, 2, True(), -1) 
| eval mount_info = if(isNull(pct_usage), ""No disk information available"", mount_point."": "".pct_usage.""%"") 
| stats values(mount_info) AS mount_information max(severity_level) AS severity_level by splunk_server 
| lookup local=true dmc_assets serverName AS splunk_server OUTPUT machine 
| eval machine = mvdedup(machine) 
| fields splunk_server machine mount_information severity_level 
| rename splunk_server AS instance",usrlsplunkmstidx,"1550176934.940504",0,splunkjs,0,1550176934,4,"manager_8243",0,completed,"0.028",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD51766ff1ba71e3ac8_1550176936.39","| rest splunk_server_group=* /services/server/info 
| eval cpu_core_count = if(isnotnull(numberOfVirtualCores), numberOfVirtualCores, numberOfCores) 
| eval physical_memory_GB = round(physicalMemoryMB / 1024, 0) 
| fields splunk_server cpu_core_count physical_memory_GB 
| eval severity_level = case(cpu_core_count <= 4 OR physical_memory_GB <= 4, 2, cpu_core_count < 12 OR physical_memory_GB < 12, 1, cpu_core_count >= 12 AND physical_memory_GB >= 12, 0, true(), -1) 
| rename splunk_server AS instance cpu_core_count AS ""cpu_core_count (current / recommended)"" physical_memory_GB AS ""physical_memory_GB (current / recommended)"" 
| fieldformat cpu_core_count (current / recommended) = 'cpu_core_count (current / recommended)'."" / 12"" 
| fieldformat physical_memory_GB (current / recommended) = 'physical_memory_GB (current / recommended)'."" / 12""",usrlsplunkmstidx,"1550176936.057113",0,splunkjs,0,1550176936,4,"manager_8303",0,completed,"0.03",,,,,,,,,,,,,,,,,,,,,
"_cruses_X2NydXNlcw_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD59dd2bc438254f743_1550497451.829","| localop | inputlookup dmc_assets | stats dc(serverName) as instance_count dc(machine) as machine_count by search_group | where match(search_group,""dmc_group_"") | eval count = ""count"" | chart format=$VAL$_$AGG$ values(instance_count) AS instance_count values(machine_count) AS machine_count over count by search_group",usrlsplunkmstidx,"1550497451.837948",0,splunkjs,0,1550497451,1,"manager_7374",0,completed,"0.015",,,,,,,,,,,,,,,,,,,,,
